G,concentration
245,0.5
228,1
211,1.5
203,2
194,2.5
188,3
180,3.5
175,4
167,4.5
165,5
139,5.5
129,6
122,6.5
115,7
233,0.5
223,1
214,1.5
202,2
192,2.5
188,3
179,3.5
175,4
171,4.5
165,5
149,5.5
139,6
133,6.5
111,7
238,0.5
225,1
208,1.5
203,2
196,2.5
188,3
181,3.5
174,4
157,4.5
154,5
132,5.5
129,6
123,6.5
110,7
245,0.5
236,1
220,1.5
209,2
200,2.5
190,3
184,3.5
178,4
173,4.5
169,5
163,5.5
151,6
145,6.5
133,7
244,0.5
233,1
224,1.5
209,2
197,2.5
188,3
184,3.5
177,4
172,4.5
160,5
151,5.5
138,6
131,6.5
123,7
245,0.5
235,1
219,1.5
211,2
204,2.5
195,3
187,3.5
184,4
175,4.5
173,5
164,5.5
156,6
153,6.5
135,7
242,0.5
230,1
220,1.5
210,2
203,2.5
192,3
188,3.5
180,4
175,4.5
171,5
164,5.5
157,6
142,6.5
133,7
244,0.5
234,1
220,1.5
209,2
202,2.5
193,3
185,3.5
182,4
176,4.5
172,5
155,5.5
154,6
149,6.5
143,7
237,0.5
222,1
209,1.5
207,2
192,2.5
190,3
176,3.5
173,4
171,4.5
157,5
143,5.5
132,6
122,6.5
125,7
